unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 10:40:00-04:00,110.4995,114.79817,112.08327,111.79825,112.11796,113.15933,114.76653,111.772285,111.91781,111.52358,114.79926,111.44146,111.62,1
NVDA,2024-09-03 10:45:00-04:00,109.621,115.39569,112.122536,111.84328,112.09897,113.71053,114.895256,111.8102,111.923164,111.46291,114.93748,111.51765,111.62,2
NVDA,2024-09-03 10:50:00-04:00,110.42,115.80913,112.162766,111.98706,111.99006,114.0723,114.84322,112.14792,112.12953,111.545334,115.15619,111.58154,111.62,3
NVDA,2024-09-03 10:55:00-04:00,109.765,115.717445,112.1362,112.15561,112.046036,114.13056,114.86138,112.57855,112.329216,111.5991,115.00903,111.632385,111.62,4
NVDA,2024-09-03 11:00:00-04:00,110.6292,114.37308,112.20812,112.25159,112.160194,114.43583,114.86274,112.30127,112.298965,111.587166,115.05625,111.67477,111.62,5
NVDA,2024-09-03 11:05:00-04:00,110.915,107.20513,111.003685,110.60587,110.21016,109.97988,109.958206,110.56413,110.53874,110.6184,114.2763,110.482185,110.6292,0
NVDA,2024-09-03 11:10:00-04:00,111.27,106.16084,110.93124,110.72475,110.18855,109.61466,109.7409,110.20413,110.5169,110.481476,113.973305,110.59744,110.6292,1
NVDA,2024-09-03 11:15:00-04:00,111.275,105.5567,110.978386,110.83154,110.29609,109.466095,109.78255,110.18277,110.52563,110.40043,114.15066,110.62304,110.6292,2
NVDA,2024-09-03 11:20:00-04:00,110.99,105.84794,111.00805,110.90935,110.31842,109.399635,109.9059,110.4769,110.45833,110.39443,114.362564,110.63903,110.6292,3
NVDA,2024-09-03 11:25:00-04:00,110.93,107.0738,111.00394,111.03522,110.24912,109.267235,109.73543,110.876686,110.511795,110.48861,114.153336,110.645386,110.6292,4
NVDA,2024-09-03 11:30:00-04:00,111.02,112.806244,111.0698,111.21325,110.302864,109.25959,110.209946,111.14412,110.827576,110.58965,114.23805,110.64986,110.6292,5
NVDA,2024-09-03 11:35:00-04:00,111.195,110.08672,111.488815,111.28846,110.96584,111.32311,110.647446,111.2145,111.12453,111.03396,114.383545,110.938225,111.02,0
NVDA,2024-09-03 11:40:00-04:00,110.59,110.34362,111.41246,111.22753,110.966484,111.66823,110.48753,110.99779,110.793335,111.02404,114.06,110.99375,111.02,1
NVDA,2024-09-03 11:45:00-04:00,110.69,110.37193,111.449486,111.23373,110.99418,112.07985,110.72956,110.96249,110.786194,110.99238,114.32601,111.00481,111.02,2
NVDA,2024-09-03 11:50:00-04:00,110.745,111.14781,111.488266,111.1337,111.07284,112.437294,110.7007,111.0117,110.55886,110.94499,114.42218,111.01177,111.02,3
NVDA,2024-09-03 11:55:00-04:00,110.36,112.681625,111.477745,110.99952,111.06996,112.68804,110.30638,110.94694,110.234314,110.96399,114.23348,111.014366,111.02,4
NVDA,2024-09-03 12:00:00-04:00,110.69,114.240585,111.54096,110.85948,111.059746,112.99613,110.4945,110.93605,110.58934,110.9549,114.37677,111.01625,111.02,5
NVDA,2024-09-03 12:05:00-04:00,110.265,108.63166,111.151085,110.77934,110.51576,110.67244,110.82363,110.59157,110.76265,110.675125,114.193085,110.63093,110.69,0
NVDA,2024-09-03 12:10:00-04:00,110.36,108.19564,111.072105,110.779915,110.5025,110.70705,111.03858,110.654045,110.8342,110.638725,113.79997,110.66485,110.69,1
NVDA,2024-09-03 12:15:00-04:00,110.36,107.56882,111.11234,110.81582,110.56027,110.78422,110.96356,110.711075,110.84206,110.59117,114.1319,110.676125,110.69,2
NVDA,2024-09-03 12:20:00-04:00,110.05,107.22544,111.151024,110.81204,110.510826,110.84903,111.15257,110.79765,110.751724,110.510864,114.191574,110.68344,110.69,3
NVDA,2024-09-03 12:25:00-04:00,110.245,107.36401,111.138855,110.61774,110.51347,110.83082,111.09545,110.81808,110.56519,110.59359,113.98178,110.68712,110.69,4
NVDA,2024-09-03 12:30:00-04:00,110.05,109.04681,111.207306,110.64593,110.45442,110.8284,111.258484,110.84524,110.49881,110.64529,114.18142,110.68947,110.69,5
NVDA,2024-09-03 12:35:00-04:00,110.31,109.51295,110.52661,110.01157,110.11662,110.098404,110.3219,110.08638,110.08083,110.07781,113.98897,110.00188,110.05,0
NVDA,2024-09-03 12:40:00-04:00,110.542,109.861404,110.445595,110.00175,110.099144,110.2056,110.32991,110.047356,110.057175,110.02488,113.566605,110.017975,110.05,1
NVDA,2024-09-03 12:45:00-04:00,110.75,110.18299,110.49746,110.011086,110.14925,110.370056,110.44269,110.06438,109.98572,110.01769,113.92153,110.015366,110.05,2
NVDA,2024-09-03 12:50:00-04:00,110.505,110.40951,110.53056,110.00597,110.165344,110.507675,110.54351,110.05819,109.955284,110.01958,113.97099,110.01151,110.05,3
